Timestamp	We are trying to better understand flaky tests and we would love your input.  Filling out this short questionnaire can help us gain a much better understanding of flaky tests and the challenges they present. Your responses to this questionnaire will be used as part of a research project, as explained in the Participant Information Sheet (https://docs.google.com/document/d/1ShwU1k1v3ZK7tft2ysszmzO0Bj8yY5jcLtkAGB_-808). Unless you choose to provide your email address, no personal information will be collected and your responses will be anonymous. Where there are open-ended questions, your words may be quoted in publications and other research outputs. Your responses will be made publicly available, with the exception of your email address if you choose to provide it, as part of an aggregated data set from the responses of all participants. You are free to withdraw from this study at any time by closing this questionnaire before you submit, or if you have already submitted, by contacting us (contact details are available in the Participant Information Sheet). Please indicate that you consent to these conditions. If you do not consent, please do not proceed with the questionnaire.	A flaky test is a test case that can both pass and fail without any changes to the code under test. Do you agree with this definition?	If you answered "No, I do not agree" to the previous question, please give your own definition of a flaky test.	How often do you observe flaky tests in the projects you’re currently working on?	To what extent do you agree with the following statements: [Flaky tests reduce the reliability of testing.]	To what extent do you agree with the following statements: [Flaky tests reduce the efficiency of testing.]	To what extent do you agree with the following statements: [Flaky tests lead to a loss of productivity.]	To what extent do you agree with the following statements: [Flaky tests lead to a loss of confidence in testing.]	To what extent do you agree with the following statements: [Flaky tests hinder continuous integration.]	To what extent do you agree with the following statements: [Flaky tests make it more likely for you to ignore (potentially genuine) test failures.]	To what extent do you agree with the following statements: [It is difficult to reproduce a flaky test failure.]	To what extent do you agree with the following statements: [It is difficult to differentiate between a test failure due to a genuine bug and a test failure due to flakiness.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Not correctly waiting for the results of asynchronous calls to become available.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Synchronization issues between multiple threads interacting in an unsafe or unanticipated manner (e.g., data races, atomicity violations, deadlocks).]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Tests not properly cleaning up after themselves or failing to set up their necessary preconditions.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Improper management of resources (e.g., not closing a file or not deallocating memory).]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Dependency on a network connection.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Not accounting for all the possible outcomes of random data generators or code that uses them.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Reliance on the local system time/date.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Inaccuracies when performing floating point operations.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Assuming a particular iteration order for an unordered collection-type object (e.g., sets).]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Reasons that cannot be precisely determined.]	Have you encountered any other causes of flaky tests that we have not described above?	After identifying a flaky test, how often do you… [Take no action.]	After identifying a flaky test, how often do you… [Re-run the build.]	After identifying a flaky test, how often do you… [Document and defer (e.g., submit an issue/bug report).]	After identifying a flaky test, how often do you… [Delete the test.]	After identifying a flaky test, how often do you… [Quarantine the test.]	After identifying a flaky test, how often do you… [Mark the test to be skipped or as an expected failure (e.g., xfail).]	After identifying a flaky test, how often do you… [Mark the test to be automatically repeated (e.g., by using the flaky plugin for pytest).]	After identifying a flaky test, how often do you… [Attempt to repair the flakiness.]	Are there any other actions that you would take that we have not listed above?	Which languages are you currently developing in?	How many years experience do you have in commercial and/or open-source software development?	Thanks for taking part, is there anything else that you would like to tell us about flaky tests?	If you would like to be notified of the results of this study, please leave us your email (optional).
7/2/2021 3:37:46	Yes, I consent.	Yes, I agree		A few times a year	Agree	Agree	Agree	Disagree	Agree	Disagree	Strongly agree	Strongly agree	Rarely	Rarely	Often	Often	Sometimes	Sometimes	Never	Sometimes	Rarely	Sometimes		Rarely	Sometimes	Rarely	Never	Never	Sometimes	Never	Often	Mock out the concurrency 	Python, Java	13 +		
7/2/2021 8:53:44	Yes, I consent.	Yes, I agree		Weekly	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Agree	Agree	Often	Often	Rarely	Rarely	Never	Never	Never	Never	Never	Sometimes		Rarely	Often	Never	Never	Never	Rarely	Never	Sometimes		C#	0 - 1		
7/2/2021 8:55:59	Yes, I consent.	Yes, I agree		A few times a year	Agree	Agree	Agree	Disagree	Agree	Agree	Agree	Disagree	Never	Sometimes	Never	Never	Never	Never	Never	Never	Never	Rarely	The automation of virtual machines is asking for trouble	Rarely	Often	Never	Rarely	Never	Never	Never	Rarely	Tell the person who maintains that codebase	C#	9 - 12	If a test uses 'Thread.Sleep(100)` or similar, then the dev should be trashed that many times.	
7/2/2021 8:56:50	Yes, I consent.	Yes, I agree		A few times a year	Agree	Agree	Disagree	Agree	Agree	Disagree	Strongly agree	Agree	Rarely	Rarely	Rarely	Never	Never	Never	Never	Never	Never	Sometimes		Never	Often	Sometimes	Rarely	Never	Never	Sometimes	Often		C#, TypeScript	2 - 4		
7/2/2021 8:57:41	Yes, I consent.	Yes, I agree		Weekly	Agree	Agree	Disagree	Agree	Agree	Strongly agree	Agree	Agree	Rarely	Never	Rarely	Never	Rarely	Never	Never	Never	Never	Sometimes	Running on different machines yielding different results due to differences in environment setup. 	Never	Often	Rarely	Never	Never	Never	Often	Rarely		JavaScript, C#, TypeScript	9 - 12		
7/2/2021 8:59:15	Yes, I consent.	No, I do not agree	A flaky test is a test case that can both pass and fail without any changes to the code under test "given consistent or expected inputs". (The given definition also fits quite well with "fuzz testign" or "fuzzing", where the input is deliverately variable to find unexpected issues.)	Weekly	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Often	Rarely	Sometimes	Rarely	Sometimes	Never	Rarely	Never	Rarely	Never	(This may be a subset of "Not correctly waiting for the results of asynchronous calls to become available.") Attempting to automate a poorly-accessable User Interface, attempting to interact with an interface that isn't in an interactable state.	Never	Sometimes	Rarely	Often	Rarely	Rarely	Sometimes	Often		JavaScript, Python, C#, TypeScript, Ruby	2 - 4		
7/2/2021 9:00:02	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Agree	Agree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Rarely	Rarely	Sometimes	Rarely	Often	Rarely	Rarely	Never	Never	Sometimes		Sometimes	Often	Rarely	Sometimes	Sometimes	Sometimes	Rarely	Sometimes		JavaScript, C#	13 +		
7/2/2021 9:03:33	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Agree	Agree	Agree	Agree	Agree	Disagree	Disagree	Rarely	Often	Rarely	Rarely	Sometimes	Rarely	Rarely	Never	Never	Rarely		Rarely	Often	Sometimes	Sometimes	Sometimes	Sometimes	Never	Often		JavaScript, C#	9 - 12		
7/2/2021 9:12:08	Yes, I consent.	No, I do not agree	A flaky test is one that exhibits different behaviour with no code changes. This includes pass/fail, but can encompass other aspects such as coverage or test time.	A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Disagree	Strongly agree	Never	Never	Rarely	Rarely	Often	Never	Rarely	Never	Never	Sometimes		Rarely	Often	Rarely	Sometimes	Never	Rarely	Never	Rarely		C#, TypeScript, Go	5 - 8		
7/2/2021 9:12:19	Yes, I consent.	Yes, I agree		A few times a year	Agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Rarely	Sometimes	Sometimes	Rarely	Rarely	Rarely	Never	Never	Never	Often		Rarely	Often	Sometimes	Rarely	Rarely	Never	Never	Often		JavaScript, C#	13 +		
7/2/2021 9:16:56	Yes, I consent.	Yes, I agree		Weekly	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Agree	Disagree	Rarely	Rarely	Often	Never	Sometimes	Never	Never	Rarely	Never	Sometimes	Had a couple of cases where a test killed the process running the tests part way through a run.	Rarely	Sometimes	Never	Rarely	Never	Never	Often	Sometimes		C#, TypeScript	9 - 12		
7/2/2021 9:17:18	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Rarely	Never	Often	Never	Never	Never	Rarely	Never	Never	Sometimes		Rarely	Often	Sometimes	Rarely	Never	Never	Never	Often		JavaScript, Python, TypeScript	5 - 8		
7/2/2021 9:31:00	Yes, I consent.	No, I do not agree	I do agree but, not all tests are deterministic 	A few times a year	Strongly agree	Strongly agree	Agree	Disagree	Strongly agree	Agree	Agree	Agree	Sometimes	Rarely	Rarely	Rarely	Never	Often	Never	Never	Rarely	Rarely	UI changes with new OS. Things like EggPlant, that uses graphics. Moving to  a new version of Windows (I think), changed the battleship grey ever so slightly and failed our UI tests	Rarely	Often	Rarely	Sometimes	Sometimes	Rarely	Sometimes	Sometimes		JavaScript, C#	13 +		
7/2/2021 9:42:55	Yes, I consent.	Yes, I agree		Daily	Disagree	Strongly agree	Agree	Strongly disagree	Agree	Strongly disagree	Strongly agree	Disagree	Never	Never	Never	Never	Never	Never	Never	Never	Never	Sometimes	Our primary problem is a random error in a third party component (which can't be mocked, it's like a container for our code) where we're testing integration with them. The error is well known to us now and can be ignored when it happens - if the test fails for a different error, we investigate.	Never	Often	Never	Rarely	Never	Never	Often	Often		Java	13 +		
7/2/2021 9:44:05	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Disagree	Sometimes	Sometimes	Sometimes	Rarely	Often	Never	Never	Rarely	Rarely	Sometimes	Dependence on external infrastructure (e.g. file shares, database servers) that change independently of the test, or that sometimes go offline.	Rarely	Often	Rarely	Rarely	Never	Never	Rarely	Sometimes		C#, TypeScript	13 +	Most of the flaky tests that we have are legacy tests that we have inherited from many years ago. They are testing important stuff, but in a way that leads to flakyness. We haven't got the time to address them all.	
7/2/2021 9:44:58	Yes, I consent.	Yes, I agree		Daily	Agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Agree	Disagree	Never	Sometimes	Often	Sometimes	Often	Rarely	Rarely	Rarely	Rarely	Sometimes	Infrastructure problems in complex setup of virtual environments (e.g. vagrant)	Sometimes	Often	Sometimes	Sometimes	Never	Never	Sometimes	Sometimes		JavaScript, C#, TypeScript, PowerShell	13 +		
7/2/2021 10:11:04	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Disagree	Sometimes	Rarely	Rarely	Never	Often	Never	Rarely	Never	Never	Sometimes		Rarely	Often	Never	Rarely	Never	Never	Sometimes	Sometimes		JavaScript, C#, TypeScript	13 +		
7/2/2021 10:47:56	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Sometimes	Often	Often	Sometimes	Often	Rarely	Rarely	Rarely	Sometimes	Sometimes		Sometimes	Often	Rarely	Sometimes	Rarely	Rarely	Sometimes	Often		C#	13 +		
7/2/2021 12:38:36	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Sometimes	Sometimes	Often	Never	Never	Never	Never	Never	Never	Never		Often	Often	Never	Never	Never	Never	Sometimes	Sometimes		JavaScript, C#, TypeScript	13 +		
7/2/2021 14:21:46	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Strongly agree	Agree	Disagree	Often	Rarely	Never	Never	Rarely	Never	Never	Rarely	Never	Rarely	Asynchronous calls to an external service either failing (unavailable) or WebHook updates coming back to a staging instance that updates the DB, but the timing of such events gets tricky.	Never	Often	Rarely	Rarely	Rarely	Rarely	Often	Sometimes		JavaScript, Python, Java, Swift	13 +		
7/2/2021 15:38:12	Yes, I consent.	Yes, I agree		Never	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Disagree	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never		Rarely	Sometimes	Rarely	Sometimes	Sometimes	Sometimes	Often	Often		JavaScript, TypeScript	5 - 8		
7/2/2021 15:57:41	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Disagree	Never	Never	Rarely	Never	Often	Never	Never	Never	Never	Often	Our product makes schema changes to databases.  Our tests therefore spin up thousands of databases, making schema changes and tearing them down.  Unfortunately, while databases are designed to be very reliable at moving data around, they are slow and unreliable when making schema changes. Our test framework has a massive caching layer that effectively memoizes database schema changes. The cache is cleared every weekend, which occasionally exposes failures that were "masked" e.g. because a test assertion was changed while green. For probably too much info, see a talk from when the caching layer was built: https://www.youtube.com/watch?v=BqfMDJ56ihw	Often	Often	Sometimes	Sometimes	Rarely	Sometimes	Sometimes	Often	Clear the cache (see linked video above), rebuild one of the test SQL Server instances	C#	5 - 8	Like, how long do you have? I have some wacky views on unit vs integration testing that I could bore you with, but tbh I don't know how offtopic you want me to go here	
7/2/2021 15:58:37	Yes, I consent.	Yes, I agree		A few times a year	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Disagree	Agree	Agree	Sometimes	Never	Sometimes	Never	Never	Never	Rarely	Never	Never	Rarely		Never	Sometimes	Often	Never	Never	Never	Never	Often		JavaScript, Java, TypeScript	5 - 8		
7/2/2021 16:04:38	Yes, I consent.	Yes, I agree		Never	Strongly agree	Agree	Agree	Agree	Strongly agree	Agree	Strongly agree	Strongly agree	Never	Never	Rarely	Never	Rarely	Sometimes	Rarely	Never	Never	Never	Not off the top of my head.	Sometimes	Often	Sometimes	Sometimes	Never	Sometimes		Rarely	Moan :-)	JavaScript, PHP	13 +		
7/2/2021 16:20:36	Yes, I consent.	Yes, I agree		Weekly	Agree	Agree	Agree	Disagree	Agree	Agree	Agree	Agree	Rarely	Rarely	Sometimes	Sometimes	Rarely	Often	Sometimes	Never	Rarely	Sometimes		Rarely	Sometimes	Sometimes	Never	Never	Never	Never	Often		JavaScript, Python, TypeScript	2 - 4		
7/2/2021 16:57:21	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Rarely	Rarely	Never	Never	Never	Never	Rarely	Never	Never	Never									Often		JavaScript, TypeScript, Go	9 - 12		
7/2/2021 17:05:23	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Rarely	Sometimes	Sometimes	Sometimes	Often	Never	Never	Never	Never	Rarely	Errors in 3rd party libraries (e.g. Vagrant).  Not waiting long enough for an environment to be set up.  In UI tests, upgrading OS on an machine that runs them (e.g. Cortana's popup). Errors when simultaneously accessing the same resource (e.g. two tests fight for an exclusive lock on the SQL Server 'model' database to create a new database for tests).	Rarely	Often	Sometimes	Sometimes	Never	Never	Often	Often	Inform the team, look for a volunteer to fix.	C#, TypeScript	13 +		
7/2/2021 19:11:46	Yes, I consent.	Yes, I agree		A few times a year	Agree	Agree	Agree	Agree	Strongly agree	Agree	Agree	Disagree	Never	Never	Rarely	Never	Rarely	Never	Rarely	Never	Never	Never		Sometimes	Sometimes	Rarely	Sometimes	Rarely	Rarely	Never	Sometimes		JavaScript	13 +		
7/2/2021 19:15:19	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Agree	Agree	Agree	Agree	Agree	Agree	Disagree	Never	Rarely	Sometimes	Sometimes	Never	Never	Rarely	Never	Never	Rarely		Rarely	Sometimes	Often	Sometimes	Sometimes	Sometimes	Never	Often		Java	9 - 12		
7/2/2021 19:20:58	Yes, I consent.	Yes, I agree		Monthly	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Never	Rarely	Never	Never	Rarely	Rarely	Rarely	Never	Never	Sometimes	Dependency on IO occuring within a time limit	Never	Sometimes	Rarely	Rarely	Never	Never	Never	Sometimes	Log the flaky for future action	TypeScript, Scala, Haskell	5 - 8		
7/2/2021 19:40:17	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Strongly agree	Agree	Disagree	Strongly agree	Strongly agree	Disagree	Agree	Never	Never	Sometimes	Never	Often	Never	Never	Never	Never	Never	Flaky performance of the host system that can lead to failing timeouts	Sometimes	Often	Rarely	Never	Never	Never	Never	Sometimes		JavaScript, Java, TypeScript	2 - 4		
7/2/2021 19:43:08	Yes, I consent.	Yes, I agree		Daily	Agree	Agree	Strongly agree	Agree	Agree	Agree	Agree	Disagree	Never	Never	Never	Never	Often	Never	Never	Sometimes	Never	Sometimes	Test data changing (for end to end tests)	Sometimes	Often	Sometimes	Never	Never	Never	Sometimes	Sometimes		JavaScript, Scala, CoffeeScript	13 +		
7/2/2021 21:29:39	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Sometimes	Never	Sometimes	Rarely	Rarely	Never	Never	Never	Never	Never		Rarely	Sometimes	Rarely	Sometimes	Rarely	Rarely	Never	Often		JavaScript, TypeScript	13 +		
7/2/2021 22:25:33	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Disagree	Sometimes	Rarely	Sometimes	Rarely	Often	Rarely	Sometimes	Never	Rarely	Sometimes		Often	Often	Often	Sometimes	Rarely	Often	Never	Sometimes		JavaScript, C#, Go	13 +		
7/2/2021 22:35:34	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Agree	Strongly agree	Agree	Agree	Agree	Disagree	Agree	Often	Sometimes	Sometimes	Never	Never	Never	Rarely	Never	Never	Rarely		Often	Often	Sometimes	Rarely	Never	Sometimes	Never	Sometimes		Haskell, Erlang	13 +		
7/2/2021 22:42:45	Yes, I consent.	Yes, I agree		Weekly	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Sometimes	Never	Sometimes	Never	Rarely	Often	Often	Rarely	Rarely	Sometimes	Tests which rely on integration with a 3rd party, and that external party might be very slow to respond, and the test does not wait long enough for the worst-case scenarios.	Never	Often	Sometimes	Never	Never	Rarely	Never	Often		Scala	13 +		
7/2/2021 22:56:05	Yes, I consent.	Yes, I agree		Daily	Agree	Strongly agree	Strongly agree	Disagree	Agree	Strongly agree	Agree	Disagree	Never	Never	Rarely	Never	Often	Rarely	Sometimes	Never	Never	Sometimes		Never	Often	Rarely	Never	Never	Never	Often	Sometimes		JavaScript, Elixir	5 - 8		
7/3/2021 0:43:15	Yes, I consent.				Disagree	Agree	Agree	Agree	Agree		Strongly agree	Disagree	Sometimes	Sometimes	Sometimes	Sometimes	Rarely		Sometimes	Sometimes		Sometimes		Sometimes	Often	Sometimes	Never	Sometimes	Sometimes	Sometimes	Often	warn other teams of existence of FT and the scope of risk	Python, C#, C++	13 +		
7/3/2021 2:06:56	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Never	Never	Never	Never	Never	Never	Never	Never	Sometimes	Never											Python, Scala, Haskell	2 - 4		
7/3/2021 5:37:47	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Rarely	Often	Often	Rarely	Often	Rarely	Often	Rarely	Sometimes	Often		Sometimes	Often	Sometimes	Rarely	Never	Never	Never	Sometimes		JavaScript, TypeScript, Go, Ruby, Swift	13 +	It’s often an organizational problem, where nobody owns shared resources, and prioritizing flaky tests across team boundaries without changing the code/features is hard.	
7/3/2021 6:00:45	Yes, I consent.	Yes, I agree		Monthly	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Rarely	Rarely	Sometimes	Rarely	Sometimes	Never	Often	Rarely	Rarely	Rarely	No	Sometimes	Often	Rarely	Rarely	Never	Sometimes	Never	Sometimes	No	Python, Java, Scala	13 +		
7/3/2021 6:18:25	Yes, I consent.	Yes, I agree		Monthly	Agree	Agree	Strongly agree	Agree	Strongly agree	Disagree	Agree	Agree	Sometimes	Rarely	Rarely	Rarely	Sometimes	Sometimes	Rarely	Never	Never		Complex e2e setups with 3rd party services (browswerstack) 	Sometimes	Often	Sometimes	Rarely	Never	Never	Often	Sometimes		JavaScript	13 +	They suck 	
7/3/2021 8:58:42	Yes, I consent.	Yes, I agree		Weekly	Disagree	Agree	Strongly agree	Agree	Disagree	Disagree	Strongly agree	Agree	Sometimes	Sometimes	Never	Rarely	Often	Never	Never	Never	Never	Rarely		Never	Often	Sometimes	Never	Rarely	Sometimes	Sometimes	Often		Java, TypeScript	5 - 8		
7/3/2021 15:08:27	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Sometimes	Never	Rarely	Rarely	Often	Never	Never	Never	Rarely	Rarely		Sometimes	Often	Sometimes	Sometimes	Never	Never	Never	Often		Go	2 - 4		
7/3/2021 15:42:08	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Agree	Strongly agree	Disagree	Strongly agree	Strongly disagree	Agree	Disagree	Never	Never	Never	Never	Never	Never	Often	Never	Never	Never		Rarely	Often	Never	Never	Never	Never	Never	Rarely		C#	0 - 1		
7/3/2021 16:27:56	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Disagree	Agree	Disagree	Often	Rarely	Often	Sometimes	Sometimes	Rarely	Rarely	Never	Rarely	Rarely		Rarely	Sometimes	Sometimes	Rarely	Rarely	Rarely	Sometimes	Often		Java	13 +		
7/3/2021 23:24:27	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Rarely	Sometimes	Sometimes	Never	Never	Rarely	Rarely	Never	Never	Sometimes		Sometimes	Often	Rarely	Never	Never	Never	Never	Sometimes		Python, Swift	5 - 8	They're very annoying! I think my willingness to put up with them on my current project is a function of the general slowness of our build (thanks swift...) and CI pipeline - this means that we're already not getting as much value from CI as we could, and the flaky tests don't reduce that much more at the margin -- most of the time, we build confidence by running tests locally, and the team is small enough that integration isn't too painful. I'm sure this will change!	
7/4/2021 1:38:57	Yes, I consent.	No, I do not agree	I would say that a flaky test is any test that changes from pass to fail (or vice versa) in different environments.	Monthly	Strongly agree	Disagree	Disagree	Agree	Strongly agree	Agree	Disagree	Strongly disagree	Sometimes	Sometimes	Rarely	Rarely	Rarely	Rarely	Sometimes	Rarely	Often	Sometimes	Assuming that code behaves the same on a workstation as in CI wrt eg file system latency or concurrency	Rarely	Often	Sometimes	Sometimes	Never	Often	Never	Sometimes	Rewrite the code under test	JavaScript, Python, TypeScript, Kotlin, Swift, Haskell	13 +		
7/4/2021 1:46:31	Yes, I consent.	Yes, I agree		Weekly	Disagree	Agree	Agree	Disagree	Disagree	Agree	Agree	Disagree	Sometimes	Rarely	Sometimes	Rarely	Rarely	Never	Sometimes		Sometimes	Rarely		Sometimes	Sometimes	Rarely	Never	Never	Never	Never	Sometimes	We wrote something to skip a test for a month to give us time to look at it. After a month it will start to fail.	Swift	5 - 8		
7/4/2021 2:19:53	Yes, I consent.	Yes, I agree		Monthly	Agree	Agree	Agree	Disagree	Strongly agree	Strongly agree	Agree	Disagree	Sometimes	Often	Rarely	Never	Never	Never	Rarely	Never	Never	Rarely	A big one for “synchronisation” is when instrumenting an external program (selenium and chrome in particular) , lots of async stuff going on there	Sometimes	Often	Rarely	Never	Rarely	Never	Sometimes	Sometimes		JavaScript, Python	5 - 8		
7/4/2021 10:48:48	Yes, I consent.	Yes, I agree		Daily	Agree	Strongly agree	Agree	Disagree	Agree	Strongly agree	Agree	Agree	Sometimes	Never	Rarely	Never	Sometimes	Never	Never	Never	Never	Never	As someone who writes front-end code, I’ve had many moments where tests are flaky because of random quirks in how Selenium works and it ignoring the elements I want it to interact with	Sometimes	Often	Rarely	Never	Never	Never	Often	Rarely	I generally run the tests two or three times before diving into the logs to see what’s going wrong 	JavaScript, TypeScript	0 - 1		
7/5/2021 13:00:55	Yes, I consent.	No, I do not agree	I'd say that the test is flaky if it does not have the clarity to clearly identify problems.  That said, if the code is written in a way that gives unreliable results then the test itself is flaky	A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Agree	Strongly disagree	Strongly agree	Strongly disagree	Rarely	Sometimes	Sometimes	Rarely	Never	Rarely	Rarely	Rarely	Rarely	Often	Poor test specification and lack of understanding of the production environment	Rarely	Sometimes	Often	Rarely	Rarely	Never	Rarely	Rarely	review test specification		13 +	Caused by poor quality of coding and poor test specification coupled with a lack of understanding of the environment	
7/5/2021 13:16:03	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Agree	Rarely	Often	Often	Rarely	Rarely	Never	Rarely	Never	Never	Never		Never	Often	Rarely	Rarely	Never	Never	Never	Often		C#	13 +		
7/6/2021 4:45:25	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Disagree	Never	Never	Often	Never	Sometimes	Never	Rarely	Never	Never	Rarely	incompatibilities between technologies - Java JPA date objects and SQL Server timestamp fields. After saving to db, milliseconds comes back slightly varied from what is entered for saving.	Rarely	Often	Never	Rarely	Rarely	Never	Never	Sometimes		JavaScript, Java	5 - 8	Date handling is the worse thing I have ever had to program around and tests dealing with it are 10 times more difficult than the already difficult code.	
7/6/2021 4:46:39	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Never	Rarely	Sometimes	Never	Sometimes	Rarely	Rarely	Never	Never	Sometimes	Dependency on external data.  Hardware performance changes.  External library instabilities.	Rarely	Often	Sometimes	Rarely	Rarely	Never	Never	Often		Python, C#, C++	13 +		
7/6/2021 14:39:45	Yes, I consent.	Yes, I agree		Monthly	Strongly agree	Agree	Strongly agree	Disagree	Agree	Disagree	Strongly agree	Disagree	Often	Rarely	Never	Never	Never	Never	Rarely	Never	Never	Rarely	Race conditions in distributed protocols - i.e., not threads modifying shared memory unsafely, but race conditions in processes passing messages	Never	Often	Rarely	Never	Never	Sometimes	Never	Often		Python, Java, C++, C, System Verilog	5 - 8		
7/6/2021 20:07:49	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly disagree	Sometimes	Rarely	Often	Never	Often	Rarely	Sometimes	Never	Never	Often		Often	Often	Often	Never	Never	Never	Never	Rarely		C#	5 - 8		
7/6/2021 20:28:04	Yes, I consent.	Yes, I agree		Daily	Agree	Strongly agree		Disagree	Agree	Strongly agree	Disagree	Disagree	Never	Often	Sometimes	Rarely	Often	Never	Never	Never	Rarely	Rarely	One thing you might be missing is tests that are inherently flaky: for example, Terraform's providers run against entire clouds, so stuff is just going to fail, because Internet. It requires a great deal of context to know which tests are okay to be failing, based on past experience and knowledge of the underlying code and tests. There are tools for that, but they're not evenly available and usable across CI platforms.	Sometimes	Often	Sometimes	Rarely	Rarely	Rarely	Sometimes	Often		JavaScript, Go, Ruby	13 +	Just to expand your scope to include fuller integration and system tests, which may have different failure profiles.	
7/6/2021 21:07:26	Yes, I consent.	Yes, I agree		A few times a year	Disagree	Agree	Disagree	Agree	Disagree	Agree	Agree	Agree	Often	Often	Often	Never	Sometimes	Never	Sometimes	Never	Never	Sometimes	Related to “cleanup or setup” above: interleaved execution order of setup & test code, e.g. some setup code runs when files A & B are loaded, and then the tests in each file are run. This typically happens for us when we neglect to put all setup code in a ‘before’ block using the mocha test runner.	Sometimes	Sometimes	Rarely	Rarely	Rarely	Sometimes	Often	Sometimes		JavaScript, Ruby	13 +		
